page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,1061,Stairway to Heaven,https://genius.com/Led-zeppelin-stairway-to-heaven-lyrics,/Led-zeppelin-stairway-to-heaven-lyrics,https://images.genius.com/af2a527e594538a3cdad2bdf5b775712.1000x1000x1.jpg,27,257,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
1,1759607,Stairway to Heaven,https://genius.com/The-ojays-stairway-to-heaven-lyrics,/The-ojays-stairway-to-heaven-lyrics,https://images.genius.com/1c20341fee74d64e7bbd841488d77b8a.640x640x1.jpg,1,,34393,The O’Jays,https://genius.com/artists/The-ojays,https://images.genius.com/98c595e0412bc657a66ba5cc650c91fb.292x282x1.jpg
1,3875894,Stairway to Heaven,https://genius.com/Cypress-hill-stairway-to-heaven-lyrics,/Cypress-hill-stairway-to-heaven-lyrics,https://images.genius.com/1db636d2c3463e2af11b01112ad70920.1000x1000x1.jpg,0,3,1317,Cypress Hill,https://genius.com/artists/Cypress-hill,https://images.genius.com/2615919eb0bcef9d55421080ab3b10b1.860x860x1.jpg
1,3819874,Stairway to Heaven (Live),https://genius.com/Led-zeppelin-stairway-to-heaven-live-lyrics,/Led-zeppelin-stairway-to-heaven-live-lyrics,https://images.genius.com/41d1dcdf572cb27781dcbd7cdc093c53.1000x1000x1.jpg,3,,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
1,364518,Stairway To Heaven,https://genius.com/Neil-sedaka-stairway-to-heaven-lyrics,/Neil-sedaka-stairway-to-heaven-lyrics,https://images.genius.com/990c806b7c295ddc5cb31e54ba4ddf18.317x315x1.jpg,1,,70057,Neil Sedaka,https://genius.com/artists/Neil-sedaka,https://images.genius.com/c7fcf5fae957b9b18a5e3d346c3a5413.600x475x1.jpg
1,766327,Stairway To Heaven,https://genius.com/Mary-j-blige-stairway-to-heaven-lyrics,/Mary-j-blige-stairway-to-heaven-lyrics,https://images.genius.com/6bcd0c9429ffc8d43c873ceb125be5cb.1000x1000x1.jpg,1,,358,Mary J. Blige,https://genius.com/artists/Mary-j-blige,https://images.genius.com/47fd446d9b1c2d5c747d3e28ba13a262.409x409x1.jpg
1,3820690,Stairway To Heaven (from How The West Was Won),https://genius.com/Led-zeppelin-stairway-to-heaven-from-how-the-west-was-won-lyrics,/Led-zeppelin-stairway-to-heaven-from-how-the-west-was-won-lyrics,https://images.genius.com/88bc5a303a12ca5d3b38618a4376fddc.1000x1000x1.png,0,,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
1,22129,Stairway to Heaven,https://genius.com/Blue-sky-black-death-and-hell-razah-stairway-to-heaven-lyrics,/Blue-sky-black-death-and-hell-razah-stairway-to-heaven-lyrics,https://images.genius.com/3b03ce225e0bc9a0ef4b0b4b8aa5ebde.1000x1000x1.jpg,8,,352851,Blue Sky Black Death & Hell Razah,https://genius.com/artists/Blue-sky-black-death-and-hell-razah,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,575097,"Rock Magic: Jimmy Page, Led Zeppelin, and a Search For the Elusive Stairway to Heaven",https://genius.com/William-s-burroughs-rock-magic-jimmy-page-led-zeppelin-and-a-search-for-the-elusive-stairway-to-heaven-lyrics,/William-s-burroughs-rock-magic-jimmy-page-led-zeppelin-and-a-search-for-the-elusive-stairway-to-heaven-lyrics,https://images.rapgenius.com/8f5886e0910daac4b370905686ee5260.584x779x1.jpg,6,7,12644,William S. Burroughs,https://genius.com/artists/William-s-burroughs,https://images.genius.com/070a425a7163101930b19b98d1862d2d.400x319x1.png
1,861532,Stairway to Heaven,https://genius.com/Richard-cheese-stairway-to-heaven-lyrics,/Richard-cheese-stairway-to-heaven-lyrics,https://images.genius.com/99c0e19bdaae6a0817ddf741a849904a.600x600x1.jpg,1,,370888,Richard Cheese,https://genius.com/artists/Richard-cheese,https://images.genius.com/a24b5f49233a5651305a86a6d07b0b6b.1000x714x1.jpg
