page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,1061,Stairway to Heaven,https://genius.com/Led-zeppelin-stairway-to-heaven-lyrics,/Led-zeppelin-stairway-to-heaven-lyrics,https://images.genius.com/af2a527e594538a3cdad2bdf5b775712.1000x1000x1.jpg,27,257,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
1,2177820,Stairway To Heaven,https://genius.com/Led-zepagain-stairway-to-heaven-lyrics,/Led-zepagain-stairway-to-heaven-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,1,,406009,Led Zepagain,https://genius.com/artists/Led-zepagain,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,821620,Fear,https://genius.com/Punch-fear-lyrics,/Punch-fear-lyrics,https://s3.amazonaws.com/rapgenius/1342746457_image.jpg,5,2,2538,Punch,https://genius.com/artists/Punch,https://s3.amazonaws.com/rapgenius/1342746457_image.jpg
1,3309414,Yohji Yamamoto,https://genius.com/Mikey-the-magician-yohji-yamamoto-lyrics,/Mikey-the-magician-yohji-yamamoto-lyrics,https://images.genius.com/663705633dc035d1c4f9c144b5cbfa6d.500x500x1.jpg,0,,51171,Mikey the Magician,https://genius.com/artists/Mikey-the-magician,https://images.genius.com/1ccc5a4015bafc2c592e80ef1df4c667.400x400x1.jpg
1,50855,Oommerang,https://genius.com/K-oomz-oommerang-lyrics,/K-oomz-oommerang-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,34,,11938,K Oomz,https://genius.com/artists/K-oomz,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,519569,Song Titles That Are Also Movies - “S”,https://genius.com/Screen-genius-song-titles-that-are-also-movies-s-annotated,/Screen-genius-song-titles-that-are-also-movies-s-annotated,https://images.genius.com/a105ca426e365081c955f81b0ba8a89e.283x278x1.png,1,,185600,Screen Genius,https://genius.com/artists/Screen-genius,https://images.genius.com/a105ca426e365081c955f81b0ba8a89e.283x278x1.png
1,4421173,Sasquatch,https://genius.com/Beaty-white-sasquatch-lyrics,/Beaty-white-sasquatch-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,0,,1769998,Beaty White,https://genius.com/artists/Beaty-white,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,3819874,Stairway to Heaven (Live),https://genius.com/Led-zeppelin-stairway-to-heaven-live-lyrics,/Led-zeppelin-stairway-to-heaven-live-lyrics,https://images.genius.com/41d1dcdf572cb27781dcbd7cdc093c53.1000x1000x1.jpg,3,,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
1,494663,The 500 Greatest Songs of All Time,https://genius.com/Rolling-stone-the-500-greatest-songs-of-all-time-annotated,/Rolling-stone-the-500-greatest-songs-of-all-time-annotated,https://images.rapgenius.com/0fd143311476d3460782b97407cd8f47.500x500x1.png,1,12,69844,Rolling Stone,https://genius.com/artists/Rolling-stone,https://images.genius.com/e12ea098c2bbe9d5a0f48615c30519d4.1000x1000x1.jpg
1,2476175,Genius Dream Album: Lady Gaga by Freeus,https://genius.com/Genius-dream-album-genius-dream-album-lady-gaga-by-freeus-annotated,/Genius-dream-album-genius-dream-album-lady-gaga-by-freeus-annotated,https://images.genius.com/f223013191a4f3ddd391506036e2f306.768x763x1.jpg,44,8,670634,Genius Dream Album,https://genius.com/artists/Genius-dream-album,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,1061,Stairway to Heaven,https://genius.com/Led-zeppelin-stairway-to-heaven-lyrics,/Led-zeppelin-stairway-to-heaven-lyrics,https://images.genius.com/af2a527e594538a3cdad2bdf5b775712.1000x1000x1.jpg,27,257,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
1,2177820,Stairway To Heaven,https://genius.com/Led-zepagain-stairway-to-heaven-lyrics,/Led-zepagain-stairway-to-heaven-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,1,,406009,Led Zepagain,https://genius.com/artists/Led-zepagain,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,821620,Fear,https://genius.com/Punch-fear-lyrics,/Punch-fear-lyrics,https://s3.amazonaws.com/rapgenius/1342746457_image.jpg,5,2,2538,Punch,https://genius.com/artists/Punch,https://s3.amazonaws.com/rapgenius/1342746457_image.jpg
1,3309414,Yohji Yamamoto,https://genius.com/Mikey-the-magician-yohji-yamamoto-lyrics,/Mikey-the-magician-yohji-yamamoto-lyrics,https://images.genius.com/663705633dc035d1c4f9c144b5cbfa6d.500x500x1.jpg,0,,51171,Mikey the Magician,https://genius.com/artists/Mikey-the-magician,https://images.genius.com/1ccc5a4015bafc2c592e80ef1df4c667.400x400x1.jpg
1,50855,Oommerang,https://genius.com/K-oomz-oommerang-lyrics,/K-oomz-oommerang-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,34,,11938,K Oomz,https://genius.com/artists/K-oomz,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,519569,Song Titles That Are Also Movies - “S”,https://genius.com/Screen-genius-song-titles-that-are-also-movies-s-annotated,/Screen-genius-song-titles-that-are-also-movies-s-annotated,https://images.genius.com/a105ca426e365081c955f81b0ba8a89e.283x278x1.png,1,,185600,Screen Genius,https://genius.com/artists/Screen-genius,https://images.genius.com/a105ca426e365081c955f81b0ba8a89e.283x278x1.png
1,4421173,Sasquatch,https://genius.com/Beaty-white-sasquatch-lyrics,/Beaty-white-sasquatch-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,0,,1769998,Beaty White,https://genius.com/artists/Beaty-white,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,3819874,Stairway to Heaven (Live),https://genius.com/Led-zeppelin-stairway-to-heaven-live-lyrics,/Led-zeppelin-stairway-to-heaven-live-lyrics,https://images.genius.com/41d1dcdf572cb27781dcbd7cdc093c53.1000x1000x1.jpg,3,,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
1,494663,The 500 Greatest Songs of All Time,https://genius.com/Rolling-stone-the-500-greatest-songs-of-all-time-annotated,/Rolling-stone-the-500-greatest-songs-of-all-time-annotated,https://images.rapgenius.com/0fd143311476d3460782b97407cd8f47.500x500x1.png,1,12,69844,Rolling Stone,https://genius.com/artists/Rolling-stone,https://images.genius.com/e12ea098c2bbe9d5a0f48615c30519d4.1000x1000x1.jpg
1,2476175,Genius Dream Album: Lady Gaga by Freeus,https://genius.com/Genius-dream-album-genius-dream-album-lady-gaga-by-freeus-annotated,/Genius-dream-album-genius-dream-album-lady-gaga-by-freeus-annotated,https://images.genius.com/f223013191a4f3ddd391506036e2f306.768x763x1.jpg,44,8,670634,Genius Dream Album,https://genius.com/artists/Genius-dream-album,https://assets.genius.com/images/default_avatar_300.png?1602794602
1,1061,Stairway to Heaven,https://genius.com/Led-zeppelin-stairway-to-heaven-lyrics,/Led-zeppelin-stairway-to-heaven-lyrics,https://images.genius.com/af2a527e594538a3cdad2bdf5b775712.1000x1000x1.jpg,27,257,562,Led Zeppelin,https://genius.com/artists/Led-zeppelin,https://images.genius.com/e4763bba12e6411077a3e573cd290da0.433x433x1.jpg
